gene,tf,region,site_index,seq_start,seq_end,score,occupancy,coef,activation_contribution
synCRE_Promega_0,ATF7,CRE1,0,25,38,11.582282,0.1770187387520467,0.0003959395074250587,7.008871222649052e-05
synCRE_Promega_0,ATF7,CRE1,1,25,38,11.856422,0.1869954781840636,0.0003959395074250587,7.403889752291146e-05
synCRE_Promega_0,CREB1,CRE1,13,23,31,-0.3144929999999994,0.0060392843122613,4.019443114772565,0.024274559747072644
synCRE_Promega_0,CREB1,CRE1,14,25,33,-1.195631,0.0045653821932769,4.019443114772565,0.018350294023072106
synCRE_Promega_0,CREB1,CRE1,15,27,35,9.98721,0.1798855711119495,4.019443114772565,0.723039820252856
synCRE_Promega_0,CREB1,CRE1,16,28,36,8.906303999999999,0.1227897795516925,4.019443114772565,0.49354653398349146
synCRE_Promega_0,CREB1,CRE1,17,30,38,-2.016086999999999,0.0034162063153063,4.019443114772565,0.013731246952700461
synCRE_Promega_0,CREB1,CRE1,18,35,43,0.8070129999999998,0.013919479024471,4.019443114772565,0.055948554126131096
synCRE_Promega_0,CREB1,CRE1,19,37,45,-1.229867,0.0089178823262288,4.019443114772565,0.03584492071451229
synCRE_Promega_0,CREB1,CRE4,43,83,91,-1.887222,0.0069099284327435,4.019443114772565,0.02777406426256204
synCRE_Promega_0,CREB1,CRE4,44,85,93,8.287079,0.1939653066324921,4.019443114772565,0.7796325162487197
synCRE_Promega_0,CREB1,CRE4,45,86,94,8.287079,0.1939653066324921,4.019443114772565,0.7796325162487197
synCRE_Promega_0,CREB1,CRE4,46,88,96,-1.887222,0.0069398391804397,4.019443114772565,0.027894288811447232
synCRE_Promega_0,CREB1,CRE4,47,92,100,-2.599271,0.0055628184761179,4.019443114772565,0.022359432422561703
synCRE_Promega_0,CREM,CRE1,0,26,35,11.981383,0.0069061496051719,19.93529241018947,0.13767611180761638
synCRE_Promega_0,CREM,CRE1,1,28,37,11.501112,0.0061815342197961,19.93529241018947,0.12323069221522769
synCRE_Promega_0,CREM,CRE4,3,84,93,10.93871,0.0105384931862422,19.93529241018947,0.21008794323052757
synCRE_Promega_0,CREM,CRE4,4,86,95,10.93871,0.0106859146366611,19.93529241018947,0.21302683295216257
scanmut_single_pos_14_A,CREB1,CRE1,13,23,31,-2.014624,0.0088947613451476,4.019443114772565,0.03575198724629868
scanmut_single_pos_14_A,CREB1,CRE1,14,25,33,-2.637395,0.007317375077101,4.019443114772565,0.02941177287186198
scanmut_single_pos_14_A,CREB1,CRE1,15,27,35,5.323435,0.1004233447341698,4.019443114772565,0.4036459215541905
scanmut_single_pos_14_A,CREB1,CRE1,16,28,36,5.290374999999999,0.0965966243495625,4.019443114772565,0.38826463665212085
scanmut_single_pos_14_A,CREB1,CRE1,17,35,43,0.8070129999999998,0.0249701106268004,4.019443114772565,0.10036593923400211
scanmut_single_pos_14_A,CREB1,CRE1,18,37,45,-1.229867,0.0140551207378354,4.019443114772565,0.05649375827698958
scanmut_single_pos_14_A,CREB1,CRE4,42,83,91,-1.887222,0.0069099284325384,4.019443114772565,0.027774064261737653
scanmut_single_pos_14_A,CREB1,CRE4,43,85,93,8.287079,0.1939653066325944,4.019443114772565,0.7796325162491308
