gene,tf,region,site_index,seq_start,seq_end,score,occupancy,coef,activation_contribution
synCRE_Promega_0,ATF7,CRE1,0,25,38,11.582282,0.2415435151909202,0.0001841640305501424,4.448362731080941e-05
synCRE_Promega_0,ATF7,CRE1,1,25,38,11.856422,0.2551570930957867,0.0001841640305501424,4.699075868797799e-05
synCRE_Promega_0,CREB1,CRE1,1,27,35,9.98721,0.0473372622525139,8.806597020412472,0.4168801927074727
synCRE_Promega_0,CREB1,CRE1,2,28,36,8.906303999999999,0.0377311016455582,8.806597020412472,0.33228260732865295
synCRE_Promega_0,CREB1,CRE4,6,85,93,8.287079,0.0560491490193903,8.806597020412472,0.49360226875081725
synCRE_Promega_0,CREB1,CRE4,7,86,94,8.287079,0.0560491490193903,8.806597020412472,0.49360226875081725
synCRE_Promega_0,CREM,CRE1,0,26,35,11.981383,0.0137312219725736,19.90891484377025,0.27337372895287476
synCRE_Promega_0,CREM,CRE1,1,28,37,11.501112,0.0124734836777456,19.90891484377025,0.24833352434539532
synCRE_Promega_0,CREM,CRE4,6,84,93,10.93871,0.0188552144277407,19.90891484377025,0.3753868584029178
synCRE_Promega_0,CREM,CRE4,7,86,95,10.93871,0.0188552144277407,19.90891484377025,0.3753868584029178
scanmut_single_pos_14_A,CREB1,CRE1,1,27,35,5.323435,0.0413455569265764,8.806597020412472,0.3641136584368819
scanmut_single_pos_14_A,CREB1,CRE1,2,28,36,5.290374999999999,0.0410597279414861,8.806597020412472,0.3615964777484382
scanmut_single_pos_14_A,CREB1,CRE4,6,85,93,8.287079,0.0560491490193903,8.806597020412472,0.49360226875081725
scanmut_single_pos_14_A,CREB1,CRE4,7,86,94,8.287079,0.0560491490193903,8.806597020412472,0.49360226875081725
scanmut_single_pos_14_A,CREM,CRE1,0,26,35,0.8115279999999996,0.0034167703894667,19.90891484377025,0.06802419072460825
scanmut_single_pos_14_A,CREM,CRE1,1,28,37,0.331256999999999,0.0031038045826325,19.90891484377025,0.061793381127334304
scanmut_single_pos_14_A,CREM,CRE4,6,84,93,10.93871,0.0188552144277407,19.90891484377025,0.3753868584029178
scanmut_single_pos_14_A,CREM,CRE4,7,86,95,10.93871,0.0188552144277407,19.90891484377025,0.3753868584029178
scanmut_single_pos_72_A,ATF7,CRE1,0,25,38,11.582282,0.2415435151909202,0.0001841640305501424,4.448362731080941e-05
scanmut_single_pos_72_A,ATF7,CRE1,1,25,38,11.856422,0.2551570930957867,0.0001841640305501424,4.699075868797799e-05
scanmut_single_pos_72_A,CREB1,CRE1,1,27,35,9.98721,0.0473372622525139,8.806597020412472,0.4168801927074727
scanmut_single_pos_72_A,CREB1,CRE1,2,28,36,8.906303999999999,0.0377311016455582,8.806597020412472,0.33228260732865295
scanmut_single_pos_72_A,CREB1,CRE4,6,86,94,4.671149999999999,0.0298078460934593,8.806597020412472,0.2625056885915722
scanmut_single_pos_72_A,CREM,CRE1,0,26,35,11.981383,0.0137312219725736,19.90891484377025,0.27337372895287476
scanmut_single_pos_72_A,CREM,CRE1,1,28,37,11.501112,0.0124734836777456,19.90891484377025,0.24833352434539532
scanmut_single_pos_72_A,CREM,CRE4,6,84,93,-0.2311450000000002,0.0022928892215844,19.90891484377025,0.045648936258722475
scanmut_single_pos_72_A,CREM,CRE4,7,86,95,-0.2311449999999997,0.0022928892215844,19.90891484377025,0.045648936258722475
scanmut_single_pos_14_T,ATF7,CRE1,0,25,38,3.532028000000001,0.0887069102397986,0.0001841640305501424,1.6336622127411007e-05
scanmut_single_pos_14_T,ATF7,CRE1,1,25,38,4.008161000000001,0.097569744821814,0.0001841640305501424,1.796883746613415e-05
scanmut_single_pos_14_T,CREB1,CRE1,1,27,35,7.306138,0.0495559801710715,8.806597020412472,0.4364195473181778
scanmut_single_pos_14_T,CREB1,CRE1,2,28,36,6.124632999999999,0.0386745054008342,8.806597020412472,0.34059078402891246
scanmut_single_pos_14_T,CREB1,CRE4,6,85,93,8.287079,0.0560491490193903,8.806597020412472,0.49360226875081725
scanmut_single_pos_14_T,CREB1,CRE4,7,86,94,8.287079,0.0560491490193903,8.806597020412472,0.49360226875081725
scanmut_single_pos_14_T,CREM,CRE1,0,26,35,0.8115279999999996,0.0027014568401219,19.90891484377025,0.05378307418410758
scanmut_single_pos_14_T,CREM,CRE1,1,28,37,0.331256999999999,0.0024540115853272,19.90891484377025,0.04885670767790486
scanmut_single_pos_14_T,CREM,CRE4,6,84,93,10.93871,0.0188552144277407,19.90891484377025,0.3753868584029178
scanmut_single_pos_14_T,CREM,CRE4,7,86,95,10.93871,0.0188552144277407,19.90891484377025,0.3753868584029178
scanmut_single_pos_72_T,ATF7,CRE1,0,25,38,11.582282,0.2415435151909202,0.0001841640305501424,4.448362731080941e-05
scanmut_single_pos_72_T,ATF7,CRE1,1,25,38,11.856422,0.2551570930957867,0.0001841640305501424,4.699075868797799e-05
scanmut_single_pos_72_T,CREB1,CRE1,1,27,35,9.98721,0.0473372622525139,8.806597020412472,0.4168801927074727
scanmut_single_pos_72_T,CREB1,CRE1,2,28,36,8.906303999999999,0.0377311016455582,8.806597020412472,0.33228260732865295
scanmut_single_pos_72_T,CREB1,CRE4,6,85,93,5.606007,0.0348072067609278,8.806597020412472,0.30653304334966763
scanmut_single_pos_72_T,CREB1,CRE4,7,86,94,5.505407999999999,0.0340801519291345,8.806597020412472,0.3001301644343202
scanmut_single_pos_72_T,CREM,CRE1,0,26,35,11.981383,0.0137312219725736,19.90891484377025,0.27337372895287476
scanmut_single_pos_72_T,CREM,CRE1,1,28,37,11.501112,0.0124734836777456,19.90891484377025,0.24833352434539532
scanmut_single_pos_72_T,CREM,CRE4,6,84,93,-0.2311450000000002,0.0022005312357393,19.90891484377025,0.043810188983390244
scanmut_single_pos_72_T,CREM,CRE4,7,86,95,-0.2311449999999997,0.0022005312357393,19.90891484377025,0.043810188983390244
