name,index,index_f,index_r,start,end,score,K,K*kmax,strand,source,site_id,occupancy,tf,seq_start,seq_end,center,gene,coef,activation_contribution
ATF1,0,50,39,-116,-107,3.268605,0.5478647083345554,0.3015006166768866,+,Kang24_Table_S2,ATF10,0.1407593214918149,ATF1,78,87,82.5,synCRE_Promega_0,0.9381296694999692,0.1320504957501562
ATF1,1,80,9,-28,-19,3.787173,0.6079646096208313,0.3345747625825708,-,Kang24_Table_S2,ATF11,0.2392938103635372,ATF1,166,175,170.5,synCRE_Promega_0,0.9381296694999692,0.22448862322973345
ATF7,0,19,73,-169,-156,11.582282,0.1539760886216156,0.6154500951121374,+,Kang24_Table_S2,ATF70,0.1415039614478934,ATF7,25,38,31.5,synCRE_Promega_0,0.2845944271313537,0.04027123884508038
ATF7,1,20,74,-169,-156,11.856422,0.1626568158480084,0.6501473941859882,-,Kang24_Table_S2,ATF71,0.1494815461610741,ATF7,25,38,31.5,synCRE_Promega_0,0.2845944271313537,0.04254161499641988
ATF7,2,41,50,-133,-120,6.130579000000001,0.0517339360418955,0.2067831190059215,+,Kang24_Table_S2,ATF72,0.0771889140214687,ATF7,61,74,67.5,synCRE_Promega_0,0.2845944271313537,0.0219675347668312
ATF7,3,42,51,-133,-120,7.580661000000001,0.0691460916736756,0.2763803722912737,-,Kang24_Table_S2,ATF73,0.103168483465044,ATF7,61,74,67.5,synCRE_Promega_0,0.2845944271313537,0.02936117544974473
CREB1,0,0,89,-193,-185,-1.655342,0.006171007691816,0.0056709600009906,-,Kang24_Table_S2,CREB10,0.0052213129406992,CREB1,1,9,5.0,synCRE_Promega_0,4.581173878631182,0.023919742456090135
CREB1,1,1,88,-192,-184,-0.4580650000000002,0.0102509799930517,0.0094203249152722,+,Kang24_Table_S2,CREB11,0.0086733929311987,CREB1,2,10,6.0,synCRE_Promega_0,4.581173878631182,0.03973432113551182
CREB1,2,2,87,-191,-183,-2.194604,0.0049100078476518,0.0045121412092081,+,Kang24_Table_S2,CREB12,0.0041319241232343,CREB1,3,11,7.0,synCRE_Promega_0,4.581173878631182,0.01892906286184702
CREB1,3,3,86,-189,-181,-2.01651,0.0052950235228749,0.0048659583818621,+,Kang24_Table_S2,CREB13,0.004427409088018,CREB1,5,13,9.0,synCRE_Promega_0,4.581173878631182,0.020282730864042364
