name,index,index_f,index_r,start,end,score,K,K*kmax,strand,source,site_id,occupancy,tf,seq_start,seq_end,center,gene,coef,activation_contribution
ATF1,0,0,45,-194,-185,2.071906,0.2635379922566803,0.0078661486628152,+,Kang24_Table_S2,ATF10,0.0073571561058546,ATF1,0,9,4.5,synCRE_Promega_0,10.7935358599136,0.07940972825552393
ATF1,1,1,44,-192,-183,1.942371,0.2529051448084444,0.0075487767422786,-,Kang24_Table_S2,ATF11,0.007060320276392,ATF1,2,11,6.5,synCRE_Promega_0,10.7935358599136,0.07620582008571215
ATF1,2,2,43,-191,-182,2.576220999999999,0.309368875409801,0.0092341204574832,+,Kang24_Table_S2,ATF12,0.008636610953861,ATF1,3,12,7.5,synCRE_Promega_0,10.7935358599136,0.0932195700386213
ATF1,3,3,42,-190,-181,2.388927999999999,0.2914849280924875,0.0087003158736685,+,Kang24_Table_S2,ATF13,0.008137347105504,ATF1,4,13,8.5,synCRE_Promega_0,10.7935358599136,0.08783074778782156
ATF1,4,11,34,-159,-150,1.812221,0.242653846033852,0.0072427933830773,+,Kang24_Table_S2,ATF14,0.0034591094369747,ATF1,35,44,39.5,synCRE_Promega_0,10.7935358599136,0.03733602175135197
ATF1,5,12,33,-152,-143,2.201604,0.2746321064508873,0.008197288589877,+,Kang24_Table_S2,ATF15,0.0079202855335823,ATF1,42,51,46.5,synCRE_Promega_0,10.7935358599136,0.08548788592747548
ATF1,6,13,32,-151,-142,2.360487,0.2888611309081049,0.0086220001115398,+,Kang24_Table_S2,ATF16,0.0075639799666064,ATF1,43,52,47.5,synCRE_Promega_0,10.7935358599136,0.08164208901323426
ATF1,7,14,31,-148,-139,1.740421,0.2371774421692982,0.0070793322951054,-,Kang24_Table_S2,ATF17,0.006232513535472,ATF1,46,55,50.5,synCRE_Promega_0,10.7935358599136,0.06727085834251394
ATF1,8,15,30,-144,-135,2.778122,0.3298785948890918,0.0098462997530574,+,Kang24_Table_S2,ATF18,0.0086685006335517,ATF1,50,59,54.5,synCRE_Promega_0,10.7935358599136,0.09356377243992403
ATF1,9,19,24,-131,-122,2.25952,0.2797358130321724,0.0083496253150527,-,Kang24_Table_S2,ATF19,0.0041760568483301,ATF1,63,72,67.5,synCRE_Promega_0,10.7935358599136,0.045074419345488705
ATF1,10,23,22,-118,-109,2.922505,0.3453741627326605,0.0103088153821267,+,Kang24_Table_S2,ATF110,0.0101176437076693,ATF1,76,85,80.5,synCRE_Promega_0,10.7935358599136,0.1092051501765578
ATF1,11,24,21,-116,-107,3.268605,0.3855472996878887,0.0115079133369812,+,Kang24_Table_S2,ATF111,0.0084268415092116,ATF1,78,87,82.5,synCRE_Promega_0,10.7935358599136,0.09095541601548386
ATF1,12,27,18,-96,-87,3.023183,0.3566079150782255,0.0106441232640559,-,Kang24_Table_S2,ATF112,0.0104589528444991,ATF1,98,107,102.5,synCRE_Promega_0,10.7935358599136,0.11288908258424639
ATF1,13,28,17,-88,-79,1.783593,0.240455304912071,0.0071771707714866,-,Kang24_Table_S2,ATF113,0.0069375405033473,ATF1,106,115,110.5,synCRE_Promega_0,10.7935358599136,0.07488059220248214
ATF1,14,29,16,-83,-74,1.956571,0.2540494925733012,0.0075829335238616,+,Kang24_Table_S2,ATF114,0.0073405220707008,ATF1,111,120,115.5,synCRE_Promega_0,10.7935358599136,0.07923018820059632
ATF1,15,30,15,-82,-73,2.561859,0.307959483692617,0.0091920525769602,+,Kang24_Table_S2,ATF115,0.0088210439054776,ATF1,112,121,116.5,synCRE_Promega_0,10.7935358599136,0.09521025371564479
ATF1,16,31,14,-75,-66,2.605278,0.3122400941245489,0.0093198213200429,+,Kang24_Table_S2,ATF116,0.0089319077970442,ATF1,119,128,123.5,synCRE_Promega_0,10.7935358599136,0.09640686710483846
ATF1,17,32,13,-74,-65,2.432119,0.2955151215346916,0.0088206101070912,+,Kang24_Table_S2,ATF117,0.0085171250853851,ATF1,120,129,124.5,synCRE_Promega_0,10.7935358599136,0.09192989503247377
ATF1,18,33,12,-71,-62,2.288230999999999,0.2823009546680358,0.0084261903115305,-,Kang24_Table_S2,ATF118,0.0082099825641709,ATF1,123,132,127.5,synCRE_Promega_0,10.7935358599136,0.08861474121564403
ATF1,19,34,11,-62,-53,1.812513,0.2426763739750707,0.0072434658027659,-,Kang24_Table_S2,ATF119,0.0070822810283118,ATF1,132,141,136.5,synCRE_Promega_0,10.7935358599136,0.07644285424906919
ATF1,20,35,10,-59,-50,1.754761,0.2382612298799076,0.0071116814648687,+,Kang24_Table_S2,ATF120,0.0068917841339482,ATF1,135,144,139.5,synCRE_Promega_0,10.7935358599136,0.0743867191885535
