name,index,index_f,index_r,start,end,score,K,K*kmax,strand,source,site_id,occupancy,tf,seq_start,seq_end,center,gene,coef,activation_contribution
ATF1,0,53,43,-116,-107,3.268605,0.548781748419883,0.396951356606322,+,Kang24_Table_S2,ATF10,0.1983087843934091,ATF1,78,87,82.5,synCRE_Promega_0,1.042368679115042,0.2067108656450675
ATF1,1,86,10,-28,-19,3.787173,0.6088060921250245,0.4403688804794552,-,Kang24_Table_S2,ATF11,0.2855704046656496,ATF1,166,175,170.5,synCRE_Promega_0,1.042368679115042,0.2976696455056812
ATF7,0,19,80,-169,-156,11.582282,0.1540353055373253,0.6161288737180706,+,Kang24_Table_S2,ATF70,0.2002335571837545,ATF7,25,38,31.5,synCRE_Promega_0,3.446983273838701e-06,6.902017224736268e-07
ATF7,1,20,81,-169,-156,11.856422,0.1627175371522293,0.6508571041558259,-,Kang24_Table_S2,ATF71,0.2115197627356644,ATF7,25,38,31.5,synCRE_Promega_0,3.446983273838701e-06,7.291050842361658e-07
ATF7,2,44,55,-133,-120,6.130579000000001,0.0517654341979899,0.2070575869517521,+,Kang24_Table_S2,ATF72,0.0983532351518095,ATF7,61,74,67.5,synCRE_Promega_0,3.446983273838701e-06,3.3902195649621194e-07
ATF7,3,45,56,-133,-120,7.580661000000001,0.0691840662120709,0.2767307186218464,-,Kang24_Table_S2,ATF73,0.1314482692618542,ATF7,61,74,67.5,synCRE_Promega_0,3.446983273838701e-06,4.5309998552065733e-07
CREB1,0,0,96,-193,-185,-1.655342,0.0354419261503013,0.0131056605638937,-,Kang24_Table_S2,CREB10,0.0116752381639107,CREB1,1,9,5.0,synCRE_Promega_0,4.687018320741679,0.05472205517327189
CREB1,1,1,95,-192,-184,-0.4580650000000002,0.0494539748228681,0.0182870142219498,+,Kang24_Table_S2,CREB11,0.0162910709694631,CREB1,2,10,6.0,synCRE_Promega_0,4.687018320741679,0.07635654809837646
CREB1,2,2,94,-191,-183,-2.194604,0.030503570249536,0.0112795629668086,+,Kang24_Table_S2,CREB12,0.009928518692066,CREB1,3,11,7.0,synCRE_Promega_0,4.687018320741679,0.04653514900753956
CREB1,3,3,93,-189,-181,-2.01651,0.0320532659303887,0.011852607035702,+,Kang24_Table_S2,CREB13,0.0102933680114209,CREB1,5,13,9.0,synCRE_Promega_0,4.687018320741679,0.0482452044516661
