position,observed,predicted
0.0,-0.1709236433985909,0.06684139333842859
1.0,-0.2739658848880946,-0.21784284677459362
2.0,0.24065934957405566,-0.060438448032370556
3.0,-0.09559896561929226,-0.025224631359382004
4.0,-0.041966753098875785,0.028472001182352904
5.0,-0.21281049952047648,-0.05892918554136355
6.0,-0.4478497978982205,0.023929279045169543
7.0,-0.3604341200783279,0.00820211831579192
8.0,-0.3286539497017484,0.04513020480839359
9.0,-0.3339878002236322,0.007195574789199872
10.0,0.2691952449332064,0.137407969281499
11.0,-0.06831708476461877,0.09404732240413664
12.0,0.024810483368486357,0.08159418797032673
13.0,-0.24210965268582307,-0.31700700149962163
14.0,-0.3343346436190952,-0.5307421224105021
15.0,-0.37598905266318017,-0.48437346361630934
16.0,-0.2950102335444265,-0.22685264738348532
17.0,-0.17705340889007817,0.18314496622418697
18.0,-0.14282940585708176,0.22560996828951685
19.0,-0.1968801886255891,-0.20650965655749043
20.0,-0.2040948498054768,0.1595231713029901
21.0,-0.18734929964220604,-0.07746683355474733
22.0,-0.07592887703232308,0.003914261488840535
23.0,0.01881308388277416,0.054279140129566826
24.0,-0.005077587211152315,0.03335508738691822
25.0,0.04092712412044277,0.026142069447140148
26.0,0.1947854805075467,0.13241769658709182
27.0,-0.07346522371178905,0.037934793711851905
28.0,-0.15242282573991217,-0.031724418812674016
29.0,-0.09988420576543006,0.09926021943468044
30.0,-0.16728375792994962,0.10905868737956943
31.0,-0.19310606393092555,-0.06359233361178715
32.0,-0.2208200526008587,-0.012974405676404678
33.0,-0.23532190365364414,-0.07374413562178538
34.0,0.08048323951371851,0.058416668535695944
35.0,0.10615536429694844,-0.02361949703134926
36.0,0.10149199872021018,0.2643902064713785
37.0,-0.5432622024243563,-0.29714313278683907
38.0,-0.5481264205131778,-0.3298834627876516
39.0,-0.6666974451457941,-0.3479504913013755
40.0,-0.6458212600348703,-0.357416403715499
41.0,-0.5583273593524162,-0.281415684278921
42.0,-0.2441187803045389,-0.1757813849754406
43.0,0.056056538927428595,0.0007235502239528435
44.0,-0.08224592691071443,0.07851792168870753
45.0,0.1336809281678605,-0.021783576788180003
46.0,-0.0464543042220932,0.04924417777221086
47.0,-0.5239525363405565,-0.43077677951890525
48.0,-0.5736324085128509,-0.3127659726220923
49.0,-0.6862938888816625,-0.5043706482468501
50.0,-0.8271992688604924,-0.6131739654866118
51.0,-0.7551148555069983,-0.5453069989137816
52.0,-0.17449588639184518,-0.31027365390216827
53.0,-0.2006870871547428,0.13509555219150532
54.0,-0.6083965526135615,-0.15673739102230588
55.0,0.0739615010944108,0.23738572453037057
56.0,-0.34015250246582013,-0.003289539461627869
57.0,0.03681803964199945,0.03945114005549119
58.0,-0.005708346367312785,0.103083231683665
59.0,0.23247859576126886,0.05824484455982113
60.0,0.07009886295478897,0.08777909624658183
61.0,0.03754447232841516,-0.06988176450809595
62.0,0.22782576091315299,0.25402659225551144
63.0,0.38424026664894145,0.017640310118064568
64.0,0.3985340316663149,0.3508111929621875
65.0,0.13546723344740932,0.2886462963375986
66.0,0.3058737247519568,0.18694278926875807
67.0,-0.39448041687085206,-0.003011524316816769
68.0,-0.6939811873708707,-0.24871889386538718
69.0,-0.8033227098668156,-0.5546165312527118
70.0,-0.9115722478500629,-0.5081501362418025
71.0,-1.0914632353746672,-1.0531673146569374
72.0,-1.5991009000298144,-1.2505482831099248
73.0,-1.3990235425438673,-1.2609642299857342
74.0,-1.1763187219391782,-1.0332976020842943
75.0,-0.7797817159882573,-0.5151992422077666
76.0,-0.8563817519777444,-0.5873395263064181
77.0,-0.7369655941662061,-0.31320863209864974
78.0,-0.6754036489725248,-0.054241538259636075
79.0,-0.12612976263373601,0.0252023661948136
80.0,-0.0754110581527845,0.08100275135967372
81.0,-0.12589477687437536,0.15269679440910464
82.0,-0.01129322141429981,0.04063170549130043
83.0,-0.0006313528893349291,0.14417366005119167
84.0,0.2745798597639295,0.145204207206352
85.0,0.018305973042986014,0.09466388055632406
86.0,-0.00019239782091519617,0.13677087040353425
